Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
2025-01-11 11:29:49,Cucu Sutiani,1,jika membuka tiktok hp langsung mati ada yang sama?,jika membuka tiktok hp langsung mati ada yang sama,jika membuka tiktok hp langsung mati ada yang sama,jika membuka tiktok hp langsung mati ada yang sama,"['jika', 'membuka', 'tiktok', 'hp', 'langsung', 'mati', 'ada', 'yang', 'sama']","['membuka', 'tiktok', 'hp', 'langsung', 'mati']",buka tiktok hp langsung mati,Positif
2025-01-11 09:56:25,Naifah Ufairah aqila,5,"Bgs bgttt, tpi coba deh klo bisa ngedit langsung fi tiktok ny kyk capcut",Bgs bgttt tpi coba deh klo bisa ngedit langsung fi tiktok ny kyk capcut,bgs bgttt tpi coba deh klo bisa ngedit langsung fi tiktok ny kyk capcut,bagus banget tapi coba deh kalau bisa ngedit langsung di tiktok nya kayak capcut,"['bagus', 'banget', 'tapi', 'coba', 'deh', 'kalau', 'bisa', 'ngedit', 'langsung', 'di', 'tiktok', 'nya', 'kayak', 'capcut']","['bagus', 'banget', 'coba', 'deh', 'ngedit', 'langsung', 'tiktok', 'nya', 'kayak', 'capcut']",bagus banget coba deh ngedit langsung tiktok nya kayak capcut,Positif
2025-01-11 05:59:38,AMOON HOBBIES,5,Indonesia,Indonesia,indonesia,indonesia,['indonesia'],['indonesia'],indonesia,Positif
2025-01-10 19:00:47,Tiara Puji,1,bisa ngga sih ngga terlalu eror masa harus download lagi baru bisa masuk dihhhhh,bisa ngga sih ngga terlalu eror masa harus download lagi baru bisa masuk dihhhhh,bisa ngga sih ngga terlalu eror masa harus download lagi baru bisa masuk dihhhhh,bisa tidak sih tidak terlalu eror masa harus download lagi baru bisa masuk dihhhhh,"['bisa', 'tidak', 'sih', 'tidak', 'terlalu', 'eror', 'masa', 'harus', 'download', 'lagi', 'baru', 'bisa', 'masuk', 'dihhhhh']","['sih', 'eror', 'download', 'masuk', 'dihhhhh']",sih eror download masuk dihhhhh,Negative
2025-01-10 18:10:00,Marissae Risa,5,Hy batu folow,Hy batu folow,hy batu folow,hai batu folow,"['hai', 'batu', 'folow']","['hai', 'batu', 'folow']",hai batu folow,Positif
2025-01-10 17:48:26,Ayah Tazwir1,5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,Negative
2025-01-10 10:00:24,YT SIAPA,5,bgus bgt,bgus bgt,bgus bgt,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,Positif
2025-01-10 00:20:46,Muhammad Ansari,1,"Kesel, kesel, kesel, kesel",Kesel kesel kesel kesel,kesel kesel kesel kesel,kesel kesel kesel kesel,"['kesel', 'kesel', 'kesel', 'kesel']","['kesel', 'kesel', 'kesel', 'kesel']",kesel kesel kesel kesel,Negative
2025-01-09 19:03:46,Arifin Katedral,5,Bagus sekali aplikasi nya,Bagus sekali aplikasi nya,bagus sekali aplikasi nya,bagus sekali aplikasi ya,"['bagus', 'sekali', 'aplikasi', 'ya']","['bagus', 'aplikasi', 'ya']",bagus aplikasi ya,Positif
2025-01-09 16:18:16,アニメスキ,1,"Woy aplikasi tolol monyet, kenapa akun gw selalu di blokir, padahal cuman make kata kata gaul, kok kena pelanggaran, dongo anj, udh 4x kena mulu, gak pernah ketik sesuatu yang kotor, hanya bahasa gaul, dan itu pun bahasa gaul nya dengan arti yang baik, malah kena pelanggaran, anj",Woy aplikasi tolol monyet kenapa akun gw selalu di blokir padahal cuman make kata kata gaul kok kena pelanggaran dongo anj udh x kena mulu gak pernah ketik sesuatu yang kotor hanya bahasa gaul dan itu pun bahasa gaul nya dengan arti yang baik malah kena pelanggaran anj,woy aplikasi tolol monyet kenapa akun gw selalu di blokir padahal cuman make kata kata gaul kok kena pelanggaran dongo anj udh x kena mulu gak pernah ketik sesuatu yang kotor hanya bahasa gaul dan itu pun bahasa gaul nya dengan arti yang baik malah kena pelanggaran anj,woy aplikasi tolol monyet kenapa akun gue selalu di blokir padahal cuman memakai kata kata gaul kok kena pelanggaran dongo anjing sudah kali kena mulu tidak pernah ketik sesuatu yang kotor hanya bahasa gaul dan itu pun bahasa gaul ya dengan arti yang baik malah kena pelanggaran anjing,"['woy', 'aplikasi', 'tolol', 'monyet', 'kenapa', 'akun', 'gue', 'selalu', 'di', 'blokir', 'padahal', 'cuman', 'memakai', 'kata', 'kata', 'gaul', 'kok', 'kena', 'pelanggaran', 'dongo', 'anjing', 'sudah', 'kali', 'kena', 'mulu', 'tidak', 'pernah', 'ketik', 'sesuatu', 'yang', 'kotor', 'hanya', 'bahasa', 'gaul', 'dan', 'itu', 'pun', 'bahasa', 'gaul', 'ya', 'dengan', 'arti', 'yang', 'baik', 'malah', 'kena', 'pelanggaran', 'anjing']","['woy', 'aplikasi', 'tolol', 'monyet', 'akun', 'gue', 'blokir', 'cuman', 'memakai', 'gaul', 'kena', 'pelanggaran', 'dongo', 'anjing', 'kali', 'kena', 'mulu', 'ketik', 'kotor', 'bahasa', 'gaul', 'bahasa', 'gaul', 'ya', 'arti', 'kena', 'pelanggaran', 'anjing']",woy aplikasi tolol monyet akun gue blokir cuman pakai gaul kena langgar dongo anjing kali kena mulu ketik kotor bahasa gaul bahasa gaul ya arti kena langgar anjing,Negative
2025-01-09 15:29:44,Natalia zee Reo,1,"BALIKIN GAK POSTINGAN ULANG KU KEMARIN ADA TERUS SEKARANG GAK ADA ,MAKSUD NYA GIMANA COBA, INTI NYA BALIKIN POSTING ULANG KU SEKARANG!!!!!",BALIKIN GAK POSTINGAN ULANG KU KEMARIN ADA TERUS SEKARANG GAK ADA MAKSUD NYA GIMANA COBA INTI NYA BALIKIN POSTING ULANG KU SEKARANG,balikin gak postingan ulang ku kemarin ada terus sekarang gak ada maksud nya gimana coba inti nya balikin posting ulang ku sekarang,balikin tidak postingan ulang ku kemarin ada terus sekarang tidak ada maksud ya bagaimana coba inti ya balikin posting ulang ku sekarang,"['balikin', 'tidak', 'postingan', 'ulang', 'ku', 'kemarin', 'ada', 'terus', 'sekarang', 'tidak', 'ada', 'maksud', 'ya', 'bagaimana', 'coba', 'inti', 'ya', 'balikin', 'posting', 'ulang', 'ku', 'sekarang']","['balikin', 'postingan', 'ulang', 'ku', 'kemarin', 'maksud', 'ya', 'coba', 'inti', 'ya', 'balikin', 'posting', 'ulang', 'ku']",balikin postingan ulang ku kemarin maksud ya coba inti ya balikin posting ulang ku,Positif
2025-01-09 13:11:58,Zaki Biru,5,Boy ganteng men,Boy ganteng men,boy ganteng men,boy ganteng men,"['boy', 'ganteng', 'men']","['boy', 'ganteng', 'men']",boy ganteng men,Negative
2025-01-09 12:30:57,Zahragarut 687,5,Luamayan,Luamayan,luamayan,luamayan,['luamayan'],['luamayan'],luamayan,Positif
2025-01-09 10:42:44,Andra Pratama,1,"Jangan di download apk 18+ ini, dan buka vidio kadang ngeframe. Dan memblokir akun tidak pake aturan seharusnya nya kasih blokir 1hari atau 1minggu duluh lah jangan langsung permanen ajg",Jangan di download apk  ini dan buka vidio kadang ngeframe Dan memblokir akun tidak pake aturan seharusnya nya kasih blokir hari atau minggu duluh lah jangan langsung permanen ajg,jangan di download apk  ini dan buka vidio kadang ngeframe dan memblokir akun tidak pake aturan seharusnya nya kasih blokir hari atau minggu duluh lah jangan langsung permanen ajg,jangan di download apk ini dan buka vidio kadang ngeframe dan memblokir akun tidak pakai aturan seharusnya ya kasih blokir hari atau minggu duluh lah jangan langsung permanen ajg,"['jangan', 'di', 'download', 'apk', 'ini', 'dan', 'buka', 'vidio', 'kadang', 'ngeframe', 'dan', 'memblokir', 'akun', 'tidak', 'pakai', 'aturan', 'seharusnya', 'ya', 'kasih', 'blokir', 'hari', 'atau', 'minggu', 'duluh', 'lah', 'jangan', 'langsung', 'permanen', 'ajg']","['download', 'apk', 'buka', 'vidio', 'kadang', 'ngeframe', 'memblokir', 'akun', 'pakai', 'aturan', 'ya', 'kasih', 'blokir', 'minggu', 'duluh', 'langsung', 'permanen', 'ajg']",download apk buka vidio kadang ngeframe blokir akun pakai atur ya kasih blokir minggu duluh langsung permanen ajg,Positif
