,comment,rating,sentimen,cleaned_comment,case_folding,text_tokens,text_stopword
0,Aplikasi tik tok aku udah daftar tik tok tapi gak bisa,5,1,Aplikasitiktokakuudahdaftartiktoktapigakbisa,aplikasitiktokakuudahdaftartiktoktapigakbisa,['aplikasitiktokakuudahdaftartiktoktapigakbisa'],['aplikasitiktokakuudahdaftartiktoktapigakbisa']
1,kenapa sekarang sering bug?? harus di unistall trs install ulang baru bisa. tolong diperbaiki lagi aplikasi ini 🙏🙏🙏,3,0,kenapasekarangseringbugharusdiunistalltrsinstallulangbarubisatolongdiperbaikilagiaplikasiini,kenapasekarangseringbugharusdiunistalltrsinstallulangbarubisatolongdiperbaikilagiaplikasiini,['kenapasekarangseringbugharusdiunistalltrsinstallulangbarubisatolongdiperbaikilagiaplikasiini'],['kenapasekarangseringbugharusdiunistalltrsinstallulangbarubisatolongdiperbaikilagiaplikasiini']
2,I LOVE TIKTOK,5,1,ILOVETIKTOK,ilovetiktok,['ilovetiktok'],['ilovetiktok']
3,For you,5,1,Foryou,foryou,['foryou'],['foryou']
4,Tiktok membuat aku lebih positif,5,1,Tiktokmembuatakulebihpositif,tiktokmembuatakulebihpositif,['tiktokmembuatakulebihpositif'],['tiktokmembuatakulebihpositif']
5,bugg ajjgg kontolll bisa gak di perbaiki bgentt banyak habis pakett aku anjgg tololll,1,-1,buggajjggkontolllbisagakdiperbaikibgenttbanyakhabispakettakuanjggtololll,buggajjggkontolllbisagakdiperbaikibgenttbanyakhabispakettakuanjggtololll,['buggajjggkontolllbisagakdiperbaikibgenttbanyakhabispakettakuanjggtololll'],['buggajjggkontolllbisagakdiperbaikibgenttbanyakhabispakettakuanjggtololll']
6,Aplikasi jelekkk nggak bisa dibuka nge blank stuck terus di logo!!!!,1,-1,Aplikasijelekkknggakbisadibukangeblankstuckterusdilogo,aplikasijelekkknggakbisadibukangeblankstuckterusdilogo,['aplikasijelekkknggakbisadibukangeblankstuckterusdilogo'],['aplikasijelekkknggakbisadibukangeblankstuckterusdilogo']
7,kenapa sekarang vt yang diambil gabisa disave dulu sebelum ke draft,2,-1,kenapasekarangvtyangdiambilgabisadisavedulusebelumkedraft,kenapasekarangvtyangdiambilgabisadisavedulusebelumkedraft,['kenapasekarangvtyangdiambilgabisadisavedulusebelumkedraft'],['kenapasekarangvtyangdiambilgabisadisavedulusebelumkedraft']
8,6بهنح,5,1,,,[],[]
9,Sangat menghibur cuma masala nya edit patah patah nya ngada,3,0,Sangatmenghiburcumamasalanyaeditpatahpatahnyangada,sangatmenghiburcumamasalanyaeditpatahpatahnyangada,['sangatmenghiburcumamasalanyaeditpatahpatahnyangada'],['sangatmenghiburcumamasalanyaeditpatahpatahnyangada']
10,Jangan banyak iklan,5,1,Janganbanyakiklan,janganbanyakiklan,['janganbanyakiklan'],['janganbanyakiklan']
11,"Aplikasi buatan cina, tempat menghujat agama Islam, udah pantas di blokir dari Indonesia, aplikasi cina yg menghina Indonesia dengan menukarkan rupiah jadi koin yg gak ada harganya, aplikasi cina yg mengambil uang rupiah banyak tapi tidak bayar pajak, udah patut di blokir dari Indonesia, apk live game keluar sendiri",1,-1,AplikasibuatancinatempatmenghujatagamaIslamudahpantasdiblokirdariIndonesiaaplikasicinaygmenghinaIndonesiadenganmenukarkanrupiahjadikoinyggakadaharganyaaplikasicinaygmengambiluangrupiahbanyaktapitidakbayarpajakudahpatutdiblokirdariIndonesiaapklivegamekeluarsendiri,aplikasibuatancinatempatmenghujatagamaislamudahpantasdiblokirdariindonesiaaplikasicinaygmenghinaindonesiadenganmenukarkanrupiahjadikoinyggakadaharganyaaplikasicinaygmengambiluangrupiahbanyaktapitidakbayarpajakudahpatutdiblokirdariindonesiaapklivegamekeluarsendiri,['aplikasibuatancinatempatmenghujatagamaislamudahpantasdiblokirdariindonesiaaplikasicinaygmenghinaindonesiadenganmenukarkanrupiahjadikoinyggakadaharganyaaplikasicinaygmengambiluangrupiahbanyaktapitidakbayarpajakudahpatutdiblokirdariindonesiaapklivegamekeluarsendiri'],['aplikasibuatancinatempatmenghujatagamaislamudahpantasdiblokirdariindonesiaaplikasicinaygmenghinaindonesiadenganmenukarkanrupiahjadikoinyggakadaharganyaaplikasicinaygmengambiluangrupiahbanyaktapitidakbayarpajakudahpatutdiblokirdariindonesiaapklivegamekeluarsendiri']
