,userName,rating,at,comment
0,gertrudes salgueiro,5,2024-12-09 12:08:41,Aplikasi tik tok aku udah daftar tik tok tapi gak bisa
1,Nur Azizah,3,2024-12-09 11:25:37,kenapa sekarang sering bug?? harus di unistall trs install ulang baru bisa. tolong diperbaiki lagi aplikasi ini 🙏🙏🙏
2,Ima Culada,5,2024-12-09 10:27:37,I LOVE TIKTOK
3,Shah Muhammad,5,2024-12-09 00:30:25,For you
4,Nurkholidin Nurkholidin,5,2024-12-08 21:40:59,Tiktok membuat aku lebih positif
5,BS NARUTO,1,2024-12-08 19:51:48,bugg ajjgg kontolll bisa gak di perbaiki bgentt banyak habis pakett aku anjgg tololll
6,Unknown Name,1,2024-12-07 20:06:22,Aplikasi jelekkk nggak bisa dibuka nge blank stuck terus di logo!!!!
7,Sekar Novita,2,2024-12-07 19:24:25,kenapa sekarang vt yang diambil gabisa disave dulu sebelum ke draft
8,Gkj Lvxij,5,2024-12-07 16:05:53,6بهنح
9,Esmeralda oqui,3,2024-12-07 12:18:11,Sangat menghibur cuma masala nya edit patah patah nya ngada
10,Jhon Riski,5,2024-12-06 21:32:01,Jangan banyak iklan
11,kolel ahmad,1,2024-12-06 19:42:04,"Aplikasi buatan cina, tempat menghujat agama Islam, udah pantas di blokir dari Indonesia, aplikasi cina yg menghina Indonesia dengan menukarkan rupiah jadi koin yg gak ada harganya, aplikasi cina yg mengambil uang rupiah banyak tapi tidak bayar pajak, udah patut di blokir dari Indonesia, apk live game keluar sendiri"
12,Gibran Alfarizqi,3,2024-12-06 18:09:59,Bgus
13,Lanti Magno,1,2024-12-06 15:58:59,"Aku hanya ngak suka pada instalnya saja, lama."
14,Ikun15 Martins,3,2024-12-06 15:02:49,Agostinha
15,Yasid,5,2024-12-06 13:25:56,"Aplikasi ini berguna bagi saya, saya dapat melihat live orang seperti teman saya, tapi ada kekurangan dikit mohon untuk mengdowlot agak di kurangin dikut MB nya"
16,Epep “Epep” Epep,5,2024-12-06 07:28:39,Tiktok emang bgus TPI akun tiktok ku engga ramai yg nonton tiktok gua
17,Syafiuna Muhammad,5,2024-12-06 07:25:51,Bagus sekali
18,Olandina Baptista,5,2024-12-06 06:41:01,Aplikasi nya bgus banget
19,Aida Comel,5,2024-12-06 03:33:18,Cool
20,Nigio Belo,4,2024-12-05 20:19:48,Bagus
21,Diva Juweita99,5,2024-12-05 18:59:59,Bintang' 5lah
22,Cahyono Yono,3,2024-12-05 18:32:52,Tiktok gak bisa di Download.
23,Xasan Cade,5,2024-12-05 14:18:00,xasan cade xasan cade
24,Yanti De jesus ydj,5,2024-12-05 09:26:19,😂😂😂😂😂😂😂🤣
25,Anita Redo,1,2024-12-05 07:56:52,susah
26,Turub termos D333NI,3,2024-12-04 21:57:51,Kenapa saya tida bisa mendownload nya
27,Omar Kholidie,5,2024-12-04 19:15:34,Good
28,Pur Yanto 81,5,2024-12-04 05:04:40,Sangat menyukai tik tok
29,Nadia Citra kirana,1,2024-12-04 05:01:37,"susah dibuka cuma logo ajaa, hrus uninstal tiap hariii"
30,Dee Mauk,1,2024-12-04 00:37:23,buruk paraaah bikin lemot hp
31,Matcho 2K,5,2024-12-03 21:32:20,SAYA GAVA DENGAN TIKTOK INI
32,Timor Leste,5,2024-12-03 20:09:32,Bagus sekali tiktok nya saya suka
33,Ally Simoes,5,2024-12-03 13:13:58,"Aku sangat suka ama aplikasi tiktok,karna aplikasi ini menhibur aku"
34,M Najib,5,2024-12-03 12:29:08,Bagus
35,Rosita Ramos,5,2024-12-02 22:36:46,Sayat bagus sekali
36,Matar Ba,5,2024-12-02 20:20:19,Diarraye
37,Atinhu ximenes Ximenes,5,2024-12-02 18:52:15,Metan ERMERA
38,Zulmero Dorego,5,2024-12-02 07:37:15,TiFa
39,Aida Kasa,5,2024-12-02 05:28:41,Bagus sekali
40,Lisna Lisa,5,2024-12-01 22:10:34,Kenapa tiktok ini saya tidak bisa masuk apa ada yang blokir tiktok ini dari saya dan saya bingung sekali karena setiap saya masuk aqun tiktok ini selalu kembali d aplikasi mohon info nya donk
41,firdauspwus,5,2024-12-01 21:27:20,Good
42,Basit Mumtaz,5,2024-12-01 19:12:40,Bagus sih aku punya banyak akun tiktok
43,Imal Goncalves,5,2024-12-01 17:35:19,Sangat bagus
44,nino gomes,1,2024-12-01 15:50:23,apk ngelag gua masuk kenapa layar gua jadi abu abu padahal apk lain gak apk nya ngebug tolong di balas da di perbaiki sekarang
45,Ishendri Zaidun Zaidun,5,2024-12-01 15:16:55,senang lihat orang senang hatinya
46,Jurilia Aek salsinha,3,2024-12-01 10:17:18,🙏💙
47,Anacleto Nascimento,2,2024-12-01 10:06:49,Kenapa saat saya ingin mendaftarkan akun tiktok saya selalu tidak bisa padahal dulu saya bisa mendaftar tapi malah di blokir tanpa keterangan sama sekali dan saya juga tidak bembuat pelangaran kok saya bisa di blokir dan sekarang saya sudah tidak bisa mendaftar lagi akun Saya ini gimana dan mohon maaf saya kasih reting nya gini
48,Akram Mia,5,2024-12-01 03:23:12,🥰🥰🥰🥰🥰🥰
49,Nori Amaral,4,2024-11-30 23:34:39,Aplikasi yang bisa tau keadaan kita gimana😌
50,He Sa,1,2024-11-30 07:18:28,Tiktok lemot dan cepat main blokir
51,Asmawi Rantawi,5,2024-11-30 02:30:06,Sangat bagus Tapi Bagaimana caranya mengatasi saat kita nonton acara life di tik tok selalu lemot
52,Vieiras De Alrido,3,2024-11-30 01:40:54,"Aplikasi ini sangat membantu untuk pengetahuan dan menambah wawasan saya sangan suka aplikasi ini,🖤"
53,Daffa Maulana,1,2024-11-30 01:23:10,Tidak bermanfaat.
54,Kang Cilok,1,2024-11-29 20:27:45,Kenapa jafi jelek apk nya suka keluar sendiri parah
55,zia nafeeza Shaqeena,5,2024-11-29 16:25:01,Top
