text,sentiment
oke,Positif
i love lu tiktok runtut api mati,Positif
kadang tiktok shopee kadang download kali,Positif
bug min tolong bagus min fitur fitur ya,Positif
aplikasi,Negative
tiktok ahirahir knapa buka mohon jelas,Positif
tiktok sih ngebug suka kayak,Negative
tiktok enak tonton ya vidio enak,Negative
bug,Negative
buka stuck logo tiktok simpan sinyal aman jaya,Positif
bintang akun blokir tiktok,Negative
kadang uninstall mulu,Positif
kena batas umur,Negative
hapus hapus,Negative
akun kirim pesan usia,Positif
tiktoknya bagus banget perlu hari,Positif
aplikasi ya seru,Positif
aplikasi bagus scroll mentok,Negative
bagus tik tok tarik keren,Positif
tiktok tau rumahh,Negative
suka aplikasi,Negative
bagus banget,Positif
bagus bangetteee,Negative
bagus,Positif
tiktok akun blokir alas coba akun dispam tulis akun blokir langgar pandu komunitas langgar pandu komunitas tiktok tolong bantu,Negative
selektif ingat batas live kadang batas parah,Negative
apk bug buka bikin hp lot,Negative
not bad,Negative
bagu trend patah patah,Negative
apa posting komentar kena pelanggarran gilirran konten vulgar bebas baned aneh,Negative
suka sih akun ku kena langgar,Negative
aplikasi tik tok ku buka ya,Positif
bagus sih bagus semenjak update baru tiktok eneh suka ngelag buka kayak bikin hp ngelek tolong admin tiktok aplikasi ya benerin,Negative
suka banget aplikasix,Positif
maaf kasih bintang pas live kena plpelanggaran tolong ya nama akun gitakiyowoooooo,Positif
tiktok sih live nge lag tanda online ya ilangg plisslahhh,Positif
suka aplikasi sengg,Negative
bugsama tolong ukur apknya kecilin,Positif
tik tok sih kali buka cuman logo tik tok buka video kali download hasil kecewa banget aplikasi,Positif
aplikasi ya bug uninstall download ulang bagus masalh,Positif
suka aplikasi ya kadang buka,Positif
itumah masuk hpnya goblog,Negative
pas maubuka apk buka tolong admin tiktok baik,Positif
akun ku dua kena blokir aneh truss nge bug pakai tonton wifi lancar jaring kuota bagus,Negative
aplikasi hibur,Negative
aplikasi nge bug kadang lot,Negative
seruh,Negative
cuih bug nya kesal,Negative
bagus banget pliss,Positif
buka habis ufdet kecewa,Negative
tolong kurang bug ya tiktok hp suka ngelag setel ulang baprik gara tiktok,Negative
ya susah buka,Negative
tiktok sih mainin aplikasi ya download hapus download loh guna ya dasar aplikasi jelek,Negative
bagus banget cari pengin ayah maksud saputra ketemu suka banget deh,Positif
tiktok min nglek scroll patah,Negative
keren,Negative
aplikasi bagus,Negative
aplikasi jelek masuk lolanya ampun tampil suara layar hitam hpku ngeblank buka tiktok heran sih asa fine fine tolong admin baik ya,Negative
apk ya update lagu tiktok disave muncul hilang,Positif
sagat bagus senang,Positif
kenapagabisa simpan postingg dluuu,Negative
lag,Positif
tolong bantu tonton anak anak dengar anak anak sesuai usia ya gambar kartun suara isi asa hubung gana tolong bantu koreksi,Negative
bikin niat sih bug malas gue,Negative
bagus pasuk,Negative
bagus,Negative
baguskurang bagusbanyak ya tipu aplikasi,Negative
aprikasina tiktok ngoloding masuk tiktok,Negative
bagus sih potodividio simpan ya pas kemarin hilang,Positif
tiktok ilmu alam,Positif
enak tonton,Negative
game kuntul,Positif
suka orang orang coba aplikasi bagus,Negative
foto tiktok pokok ya tiktok bagus deh tiktok baik,Positif
hibur good luck good job sukses ya tiktok ku sayang,Positif
apk bikin streak udsh akun batas usia bilang duluuuuu,Negative
tik tok banget masuk ya,Positif
apk ya bagus,Positif
sih suka benci pas download seru,Positif
belanja mudah,Negative
sorry banget bug ya loh bikin geleng kepala rekomendasi pakai apk mending apk belah,Negative
manfaat,Positif
suka hapus akun orang umur ya,Positif
bisah buka buruk kali aplikasi,Negative
tolong tiktok ngebug stack logo masuk aplikasi,Negative
wkwkwk bagus banget,Positif
vt orang buram,Negative
bagus tonton cari lot,Negative
dibuaka ngbak gambar tiktok nya doang,Positif
dibukaharus hapus download ulangg,Negative
aplikasi tiktok keren,Negative
aplikasi suka lanjur suka snack video mufon tiktok main snack video deh maaf ya,Positif
buka tiktok ku,Negative
tik tok ter,Negative
tolong tiktokk streaknya idupin gue teman gue hidup hidup,Negative
kadang suma lot,Negative
martin marjinto,Negative
isi orang jual,Positif
aplikasi bahaya timbul sifat konsumerisme busuk otak turun cerdas manusia rusak otak aplikasi sampah kandang monyet penuh orang fomo,Negative
vt gua kgk buka min tulis langgar komunitas bingung gua tiktok,Negative
kolo bosan tonton tik tok seru banget loh kak ya main halanan bikin fidio seru banget kayak gana seru banget kenaoa ya seru bagusssssssss bangettttttttttttttttttttttttttttttttt,Positif
bagid,Negative
hibur sih seru,Negative
bagus tolong baik bug ya mendownload ulang stuck logo download ulang hp lot,Negative
bagus banget vidio arabic song suka banget baru ya,Positif
apkny bagus bug nya cik,Positif
i live,Positif
moga sukses kembang mudah hasil uang tiktok,Positif
bantu publik mersa bahagia berkraror,Positif
aplikasi bagus akun ratus kena banned senang,Negative
embun sari,Positif
woi ajg bug live cepat urus gangu aplikasi bunyi live,Positif
bukakalau buka mesti nyaalasan bug,Negative
bagus,Negative
be bagus men,Positif
apasiiiii iniiii tiktok jeles kemarin hilang live ku keranjang kuning,Negative
senang masuk tiktok kenal teman,Negative
aplikasi ya toko ya sih,Positif
sumpah kesel banget komentar takedown biar gue komen prestasi kocag ditakedown gue erti konsep lo tiktok nilai komentar komen negatif kagak hapus anjg blok,Negative
defloper bagus banget,Positif
bagus banget tiktok buka tiktok suka eror susah masuk moga baik ya ya download berkalikali tiktok ya eror,Positif
kembali postingg ulangg,Positif
mohon tiktok makan memory gb saran tolong baik,Positif
hadiah,Negative
bug jelek banget aplikasi mending tonton yt tiktok ngebug pas login habis pas scrol ngestuck kadang suara,Positif
suka aplikasi,Negative
aplikasi tiktok mesti uninstall install tiktok buka muncul logo tiktok ya saran dongsudah beulang kali jadi,Negative
tolong banget bug ya uninstall install always ngeleg bikin hp lot banget tolong banget tiktok baik bug ya apk bagus iya kualitas nya kg sih,Positif
aplikasi buka uninstall download keranjang belanja tanda belanja ya hilang tolong benerin,Negative
maaf bagus aplikasi buka,Negative
orang live scroll masuk tolong baik deh,Positif
pas buka apk ya macet,Positif
kecewa tiktok hp ram ya gb kadang suka eror,Positif
edi ediweredi,Positif
tolong mbak ya kurang ya,Positif
nya video ya seru bagus bagus banget,Positif
hibur,Positif
salamualaikum maaf gan aplikasih tik tok buka mohon bantuwanya trimakasih,Positif
aplikasi tiktok seru senang videovideo bagus asik tren keren tarik kontenkonten mukbang tarik perhati orang moga depan aplikasi tiktok populer,Positif
baik ya dihp buka donwload prna ngalamin pas download bsknya hapus download lagiaku dm ig dibales samsek login akun ditiktok baik ya,Positif
aplikasi buka,Negative
flowers hilang nickname ubah,Positif
tiktok jagan batas buru goody bag harta karun contoh aplikasi aplikasi belah harta karun batas hari mending tiada tolong perhati jagan limit abdate tiktok kacau,Negative
lumayan kerja,Positif
